label,comment
1,teşekkür ederim bir daha ğörüşmek üzere
1,"HIZLI KARGO, GÜVENİLİR MAĞAZA. SIFIR, SORUNSUZ ÜRÜN. HEMDE EN AVANTAJLI FİYAT. TEŞEKKÜRLER"
1,çok anlamam telefondan aldık kullacnacaz işte. bu fiyata alınabilecek normal bir telefon. zaten bir telefondan ne bekliyoruz ki ihtiyacımızı kesinlikle karşılıyor. gönül isterdi ki 64 gb lik olsun ama fiyat farkı çoktu. 1229 tl ye aldım fiyatlar artar diye acele ettim baktım sonraki gün 1165 TL ye veriyorlar. : ((
1,Evet ürün güzel
1,Faturam gelmedi yardımcı olurmusunuz
1,Telefonu annem için aldık.ihtiyaçları karşılıyor 2018 model bu paraya göre iyi bi telefon.
1,GÜZEL ÜRÜN TAVSİYE EDERİM.
0,urun guzel magaza kotu
1,Evet beğendim çok güzel ve uygun
1,Ürün şimdilik sorunsuz memnun kaldım. Teşekkürler.
1,Ürün güzel tam istediğim geldi özen le ambalaj lanmis firmaya tşkler
1,güvenilir ve sorunsuz alışveriş fatura mail le geliyor
1,her daim bunu bilir bunu söylerim eğer android telefon alacaksanız samsung dan şaşmayın derim sağlamlık açısından. ürün orjinal samsung sanırım tam bayisi gönderen paketinden herşeyinden belli fakat şu EMAİL FATURA can sıkıcı benim faturamı ÜRÜNLE birlikte gönderin arkadaş ne uğraştrıyor sunuz insanı elektronik faturayla falan bu kadar zor mu?? hadi benim email adresim öylesine açtığım şifresini bilmiyorsam nasıl alicam o faturayı buna bi çare bulsun internet mağazaları
1,Teşekkür ederim emeğinize sağlık
1,"Ürünü eşime, almıştık. Kesinlikle bayıldık, çelik kasa olması bayan kullanacaksa çok çok önemli :) parasının hakkını sonuna kadar veriyor!!!"
1,"Arkadaşlar bu telefon almak için epey bir araştırma yaptım. Daha önce General Mobile Discovery kullandım, ancak en az iki defa ekran, iki-üç defada şarj soketinden dolayı sıkıntı yaşadım. Yinede yerli malı kullanmak adına GM 8 kullanmayı düşündüm ancak en sonunda J7 prime 2 almaya karar verdim. KEŞKE yerli mallarımız da bu kalitede olsaydı da ondan alsaydım."
1,yaşlılarımız icin kullanışlı bi telefon
1,ürün gayet güzel fiyat da uygun olunca düşünmeden aldım. ancak fatura ürün ile birlikte gelmiyor firma ile irtibata geçince mail ile gönderdiler...
1,orj ürün sorunsuz
1,beklentilerini fazlasıyla karşılıyor. metal kasa çizilmez ekran güven veriyor
1,ewet beğendim temiz güzel bir alışveriş
0,Hayır hiç reklamını yaptıklarıgibi bir ürün değil
1,urun anlatıldığı gibi geldi ancak kargoya mağaza tarafından aynı gün teslim edilmesine rağmen kargo firması tarafindan tarafıma ulaştırılması uzun surdu
1,Çok beğendim......
1,"Ürün sorunsuz geldi ve büyük Samsung kutusunun içinde geldi, gerçekten çok güzel bir şekilde paketlenmiş. Kutu için teşekkür ederim :) Kargoda da adını hiç duymamama rağmen hızlı bir şekilde geldi ve çok memnun kaldım. Her şey için teşekkürler."
0,yurtiçi kargo olarak belirtmelerine rağmen kurye ile gönderiyorlar. kargoyu takip edemiyoruz ve çok geç geliyor!
1,Ürün bence tam f/p ürünü. Ne beklediğinize bağlı olarak tabi değişir ama bu fiyata metal kasa Samsung kalitesinde bir ürün
1,"Siparişimi ertesi gün sorunsuz bir şekilde teslim aldım, kargo paketlemesi çok özenli yapılmış ve faturası ile birlikte geldi..Bir çok telefon ile kıyaslama yaptım, bu fiyata alınabilecek en iyisi şu an bu telefon..Yeni çıkan j6 plus' a göre çok çok iyi..Hiç tereddüt etmeden bunu alın, tavsiye ederim. Hem satıcı firmaya, hem n11.com'a tekrar teşekküler :)"
0,Hayır anlatıldığı gibi değil Çok vasat ve yavaş
1,ürün kapalı kutu bütün imei sticker lar duruyor üzerinde
1,Hızlı Kargo Özenli Paket Teşekkürler
1,"Kapalı kutu, ve faturalı sıfır ürün teşhir değil ben memnun kaldım. mağazayla iletişim gecikmeli kuruluyor o biraz sıkıntı. ürünüm istanbul içi olduğunda mı bilmiyorum aktif kuryeyle geldi yurt içi kargoyla uğraştım ben biraz sonra farkettim. aktif kurye http://tr.aktif.com/iletisim/ ürün takibini buradan yapıyorsunuz benim bu sayfayı bulmam uzun sürdü, umarım siz sorun yaşamazsınız"
1,ÜRÜNÜBEĞENDİM AYNI ÜRÜN
1,ürün güzel hızlı kargo ama .. paketleme kötü kutu içine telefonun kutusunu koymuşlar bir parça balonlu poşet koymuşlar. yanlış anlaşılmasın tel balanlu poşete sarmamışlar sadece bir parça koymuşlar
1,Ürünü ve mağazayı tavsiye ederim kargo iyi iletişim iyi alışveriş iyi
0,hayır begenmedim
1,1.156 TL ye alabileceğiniz en iyi cihaz kamerası gayet tatmin ediciydi.
1,Fiyatına göre en uygun bu
1,cok begendik. alin kullanin saglam telefon.
1,"Ürünü tanıyodum. Uygun fiyat, hızlı gönderi. Daha ne olsun. Herşey süper. Kesinlikle tavsiye ederim..."
1,GÜZEL ÜRÜN TAVSİYE EDERİM.
1,ürün güzel. inşallah bizi yaniltmaz
1,Üründen memenin kaldım. Mağazaya teşekkür ederim.
1,evet................
1,Araştırmalardan sonra istediğim özelliklere sahip ve ekonomik bulduğum ürünü n11 de buldum ve aldım.Şimdilik memnun kaldım inşallah ileri zamanda sorun yaşamam.
1,Fiyat performans ürünü
1,bu fiyata alınabilecek en uygun tek tel Arkası Altın on tarafı siyah burda biraz farklı geldi bana...
1,Fiyat ve performans güzel orjinal ürün teşekkürler...
1,çok teşekkür ediyorum
1,Ürünü çok beğendik tamda istediğimiz gibi herkese tavsiye ediyoruz
1,Ürünü çok beğendim
0,Kesinlikle hayır vasat
1,sıkıntı yok sıkıntı yok sıkıntı yok sıkıntı yok sıkıntı yok
0,Hayır tavsiye etmem
1,Bu fiyatlarda bence uygun bi telefon. Ozellikeri ile de hic fena degilm ses bakimindan biraz yetersiz
